"Area_Name","Ban_No","Cmpy_Name","Cmpy_Add","Cap_Amt","Cmpy_Rep","Estab_App_Date","twd97X","twd97Y","wgs84aX","wgs84aY"
"新北市中和區","04434773","福宮通商股份有限公司","新北市中和區連城路258號3樓之3","60000000","陳文錦","0631028","299153.63","2765482.16","121.48694100","24.99653600"
"新北市中和區","04461709","克中企業有限公司","新北市中和區連勝街121巷18弄1號","1000000","黃耀葳","0641107","299986.3","2765241.6","121.49518100","24.99433700"
"新北市中和區","04467274","茂鎰行有限公司","新北市中和區中山路二段二五○巷十六之二號","5000000","賴喜雀","0650713","300213.77","2766212.53","121.49746900","25.00309500"
"新北市中和區","04484750","協泰成國際有限公司","新北市中和區中山路二段三二三號","2000000","王景明","0671129","299801.15","2766100.53","121.49337800","25.00209700"
"新北市中和區","04491318","安汶貿易有限公司","新北市中和區中山路2段553號4樓","5000000","陳文燦","0681214","298533.95","2766471.92","121.48083700","25.00549100"
"新北市中和區","04492127","德麥貿易有限公司","新北市中和區中正路716號4樓之5","10000000","戴美雲","0680911","299038.45","2765528.98","121.48580200","24.99696200"
"新北市中和區","04522261","華裕精機工業股份有限公司","新北市中和區員山路581巷31弄18號","5000000","吳銘裕","0620308","298127.42","2767019.47","121.47682900","25.01044700"
"新北市中和區","04524818","德元印刷企業有限公司","新北市中和區中正路988巷13弄8號","5000000","吳坤鴻","0620508","298611.7","2766990.07","121.48162600","25.01016700"
"新北市中和區","04529095","鑫豐工程有限公司","新北市中和區員山路611巷4弄21號1樓","5000000","葉順發","0620825","298126.19","2767110.46","121.47682000","25.01126900"
"新北市中和區","04531347","正大特殊印刷廠股份有限公司","新北市中和區建一路103號5樓","18000000","林文聰","0620702","299276.39","2766032.74","121.48817700","25.00150200"
"新北市中和區","04536244","美嘉彩藝印製有限公司","新北市中和區連城路222巷4弄6號1樓","1500000","梁敦傑","0621023","299588.46","2765591.52","121.49125200","24.99750900"
"新北市中和區","04537383","神電電機股份有限公司","新北市中和區建一路100號2樓","8700000","江煙銘","0620925","299243.95","2765915.74","121.48785100","25.00044700"
"新北市中和區","04543054","佳奇廣告印刷股份有限公司","新北市中和區中山路2段327巷11弄2號4樓","4000000","范正德","0630618","299844.43","2765948.03","121.49380100","25.00071900"
"新北市中和區","04546405","益信紙器有限公司","新北市中和區中山路2段362之3號2樓","2000000","陳鳳凰","0630830","299682.36","2766242.34","121.49220600","25.00338100"
"新北市中和區","04563558","安啟企業有限公司","新北市中和區員山路302號","5000000","余林麗玉","0640407","298588.44","2766159.74","121.48136600","25.00267100"
"新北市中和區","04567007","理研電器股份有限公司","新北市中和區錦和路59號","70000000","黃陳靜如","0640527","299352.94","2765730.75","121.48892400","24.99877300"
"新北市中和區","04571852","新華工藝股份有限公司","新北市中和區建八路2號12樓之7","40000000","曾陳淑美","0640828","299076.74","2765680.39","121.48618600","24.99832800"
"新北市中和區","04573063","壯亞企業有限公司","新北市中和區立業路83巷16號","3500000","方櫻珍","0640904","299578.37","2766613.87","121.49118900","25.00673900"
"新北市中和區","04574892","國賓壓克力企業有限公司","新北市中和區中山路2段366巷17號","10000000","吳素真","0641024","299623.09","2766396.33","121.49162400","25.00477400"
"新北市中和區","04576239","東陞美術印刷有限公司","新北市中和區中板路7之5號","10000000","陳坤陞","0641117","298939.39","2767092.57","121.48487600","25.01108100"
"新北市中和區","04580682","貿洋企業有限公司","新北市中和區中正路963號6樓","2000000","林森基","0650216","298765.57","2766662.82","121.48313800","25.00720700"
"新北市中和區","04581394","敦德企業有限公司","新北市中和區建六路67巷16號","5000000","黃長峰","0650209","299131.37","2766176.69","121.48674500","25.00280700"
"新北市中和區","04584857","弘盛彩色印刷股份有限公司","新北市中和區中板路5巷8號","13000000","陳金茵","0650107","298971.67","2767006.85","121.48519300","25.01030600"
"新北市中和區","04586428","騰達汽車貨運有限公司","新北市中和區中正路817號9樓之10","6000000","邱建焱","0650407","298911.11","2766064.56","121.48455900","25.00180100"
"新北市中和區","04587101","杉簡事業有限公司","新北市中和區中山路2段366巷15號","15000000","王美華","0650522","299626","2766380.19","121.49165300","25.00462800"
"新北市中和區","04590577","冠宇國際電訊股份有限公司","新北市中和區建康路158號8樓","285052000","陳銘宏","0650715","299506.55","2765875.52","121.49045100","25.00007500"
"新北市中和區","04591273","台力科技有限公司","新北市中和區景新街四七五之一號二樓","500000","蔡祐","0650727","301847.17","2764528.19","121.51358800","24.98783300"
"新北市中和區","04592580","偉元實業有限公司","新北市中和區中板路15巷12號(1樓)","5000000","洪榮堯","0650816","298859.49","2767103.16","121.48408500","25.01118000"
"新北市中和區","04601672","鈺龍數位印刷有限公司","新北市中和區橋和路115號2樓117號2樓","22000000","張永昌","0620414","299587.37","2766508.78","121.49127500","25.00579000"
"新北市中和區","04614613","寶港企業有限公司","新北市中和區連城路347巷18弄17號1樓","500000","林坤億","0630627","299175.24","2765295.57","121.48714800","24.99485000"
"新北市中和區","04630424","承泓企業股份有限公司","新北市中和區中山路3段37巷12號12樓","2000000","李勝詔","0640830","298226.8","2766407.06","121.47779200","25.00491500"
"新北市中和區","04632056","欽達實業有限公司","新北市中和區中山路2段526巷15弄6號(1樓)","1000000","林瑞彬","0641022","299005.54","2766478.14","121.48550900","25.00553200"
"新北市中和區","04659245","幼福文化事業股份有限公司","新北市中和區建一路176號12樓之1","15000000","黃偉容","0660825","299240.51","2765561.66","121.48780400","24.99725100"
"新北市中和區","04678377","龍河企業有限公司","新北市中和區新民街94巷5號(1樓)","5000000","楊甄甄","0671218","298567.36","2766824.51","121.48118100","25.00867300"
"新北市中和區","04681318","瑋士傑企業有限公司","新北市中和區立業路61巷10號1樓","5000000","吳松村","0680720","299684.2","2766606.73","121.49223700","25.00667100"
"新北市中和區","04685503","泰孚電器工業股份有限公司","新北市中和區建八路2號4樓之1","1000000","黃順吉","0620414","299076.74","2765680.39","121.48618600","24.99832800"
"新北市中和區","04691152","富茂電子股份有限公司","新北市中和區中正路953號10樓","10160000","林怡如","0620607","298797.32","2766602.5","121.48345100","25.00666200"
"新北市中和區","04718510","華中橋加油站股份有限公司","新北市中和區連城路96號","2500000","王憲章","0640105","300106.36","2765875.27","121.49639300","25.00005300"
"新北市中和區","04747846","震寰實業股份有限公司","新北市中和區建一路83號5樓","5000000","王祖淼","0650311","299274.8","2766156.83","121.48816500","25.00262300"
"新北市中和區","04748423","嘉信旋鈕股份有限公司","新北市中和區中板路35號","7050000","方朝慶","0650316","298703.65","2767200","121.48254400","25.01205900"
"新北市中和區","04792546","祺林工業股份有限公司","新北市中和區建一路81巷4號3樓","32000000","温金海","0670904","299314.49","2766160.01","121.48855900","25.00265000"
"新北市中和區","04795728","大菱電器有限公司","新北市中和區建八路125巷8號","7000000","黃清松","0680122","299450.72","2765791.78","121.48989500","24.99932100"
"新北市中和區","04801691","君輝企業有限公司","新北市中和區環中路128號、130號1樓","5000000","何榮雄","0681119","298659.2","2767273.28","121.48210600","25.01272200"
"新北市中和區","04855529","延壽藥品股份有限公司","新北市中和區圓通路305巷3弄3號","10000000","王志誠","0640924","299833.47","2764817.19","121.49365200","24.99051000"
"新北市中和區","04856457","鴻福建設開發有限公司","新北市中和區景平路999巷2號1樓","20000000","蔣王翠琴","0641117","299993.63","2766527.65","121.49530000","25.00594700"
"新北市中和區","04880077","宏溪企業有限公司","新北市中和區中山路二段三八○巷二三號","10000000","陳碧珠","0680205","299539.48","2766364.58","121.49079500","25.00449000"
"新北市中和區","04880668","誌榮電機有限公司","新北市中和區建六路78號","2730000","許良愈","0680319","299134.8","2766092.42","121.48677600","25.00204600"
"新北市中和區","04901349","奕欣電化商品有限公司","新北市中和區景平路182號35樓","1500000","林文字","0701103","302134.45","2765032.52","121.51645300","24.99237700"
"新北市中和區","04910425","大炘企業有限公司","新北市中和區圓通路198巷32號2樓","1000000","曾乾鐘","0720124","300014.84","2765337.36","121.49546700","24.99520000"
"新北市中和區","04916912","智楊企業股份有限公司","新北市中和區中山路3段110號6樓之1","10000000","李麗琴","0720613","298119.72","2766577.41","121.47673700","25.00645700"
"新北市中和區","04937233","大業倉儲股份有限公司","新北市中和區自立路123號","15000000","鄭少寬","0630212","302703.24","2765242.56","121.52209500","24.99425300"
"新北市中和區","04944446","文林電子有限公司","新北市中和區中山路2段97號","10000000","鄭亮月","0630706","300807.79","2766310.68","121.50335800","25.00396100"
"新北市中和區","04955864","殷朋有限公司","新北市中和區建一路150號6樓之４","26000000","殷兆宏","0631214","299240.74","2765681.72","121.48781100","24.99833400"
"新北市中和區","04962627","宏宇文具印刷有限公司","新北市中和區立德街九八巷七八號","10000000","許玉川","0640430","299320.4","2766789.03","121.48864000","25.00832900"
"新北市中和區","04972548","藝傑企業有限公司","新北市中和區景平路71-6號12樓之8","5000000","陸明玉","0661013","302363.2","2764931.57","121.51871500","24.99145700"
"新北市中和區","04988534","柏昇企業股份有限公司","新北市中和區中正路1226號3樓","46000000","張政龍","0650607","298388.92","2767080.3","121.47942200","25.01098800"
"新北市中和區","05000182","長勝彩色印刷廠股份有限公司","新北市中和區中山路2段359巷1號2樓","5000000","彭美綺","0671229","299325.93","2766330.12","121.48867800","25.00418500"
"新北市中和區","05005911","金昇小客車租賃有限公司","新北市中和區廣福路53巷16號","5000000","姚瑞林","0671204","300773.6","2765976.13","121.50300700","25.00094200"
"新北市中和區","05009368","日達文具印刷事業有限公司","新北市中和區南工路94巷7號1樓","2000000","郭芳安","0680905","301213.59","2766192.39","121.50737400","25.00287900"
"新北市中和區","05009655","飛燕印刷有限公司","新北市中和區橋安街一七號六樓","12000000","蘭耀先","0680817","299721.78","2766306.37","121.49259900","25.00395800"
"新北市中和區","05014926","碧利實業有限公司","新北市中和區中山路2段315巷2號7樓","10000000","黃重慶","0690228","299867.18","2766065.24","121.49403100","25.00177600"
"新北市中和區","05024298","誠瑋美術印刷有限公司","新北市中和區立德街52巷19號","7000000","蔣忠臣","0691212","299283.09","2766792.73","121.48827000","25.00836300"
"新北市中和區","05056713","台灣三國股份有限公司","新北市中和區中正路797號1樓","34200000","秋葉弘一","0680830","298929.1","2765916.66","121.48473200","25.00046600"
"新北市中和區","05057522","晉翔企業有限公司","新北市中和區連城路267號5樓之4","5000000","詹量鈞","0681002","299567.35","2765454.7","121.49103800","24.99627400"
"新北市中和區","05071926","久裕企業股份有限公司","新北市中和區中原里中正路880號14樓之5","745743550","傅輝東","0690602","298858.96","2766584.24","121.48406100","25.00649500"
"新北市中和區","05094245","新卓安有限公司","新北市中和區中山路2段450號6樓","1700000","卓安","0700715","299351.09","2766363.05","121.48892900","25.00448200"
