"教會_堂_登記概況","教會_堂_數","已辦理財團法人登記","未辦理財團法人登記"
"106年/ 基隆市 / 統一教","-","-","-"
"106年/ 基隆市 / 摩門教","-","-","-"
"106年/ 基隆市 / 其他","-","-","-"
"106年/ 新竹市 / 宗教別總計","46","46","-"
"106年/ 新竹市 / 天主教","14","14","-"
"106年/ 新竹市 / 基督教","32","32","-"
"106年/ 新竹市 / 回教","-","-","-"
"106年/ 新竹市 / 天理教","-","-","-"
"106年/ 新竹市 / 巴哈尹教","-","-","-"
"106年/ 新竹市 / 真光教","-","-","-"
"106年/ 新竹市 / 山達基教會","-","-","-"
"106年/ 新竹市 / 統一教","-","-","-"
"106年/ 新竹市 / 摩門教","-","-","-"
"106年/ 新竹市 / 其他","-","-","-"
"106年/ 嘉義市 / 宗教別總計","60","18","42"
"106年/ 嘉義市 / 天主教","10","6","4"
"106年/ 嘉義市 / 基督教","47","12","35"
"106年/ 嘉義市 / 回教","-","-","-"
"106年/ 嘉義市 / 天理教","3","-","3"
"106年/ 嘉義市 / 巴哈尹教","-","-","-"
"106年/ 嘉義市 / 真光教","-","-","-"
"106年/ 嘉義市 / 山達基教會","-","-","-"
"106年/ 嘉義市 / 統一教","-","-","-"
"106年/ 嘉義市 / 摩門教","-","-","-"
"106年/ 嘉義市 / 其他","-","-","-"
"106年/ 金門縣 / 宗教別總計","4","4","-"
"106年/ 金門縣 / 天主教","-","-","-"
"106年/ 金門縣 / 基督教","4","4","-"
"106年/ 金門縣 / 回教","-","-","-"
"106年/ 金門縣 / 天理教","-","-","-"
"106年/ 金門縣 / 巴哈尹教","-","-","-"
"106年/ 金門縣 / 真光教","-","-","-"
"106年/ 金門縣 / 山達基教會","-","-","-"
"106年/ 金門縣 / 統一教","-","-","-"
"106年/ 金門縣 / 摩門教","-","-","-"
"106年/ 金門縣 / 其他","-","-","-"
"106年/ 連江縣 / 宗教別總計","5","-","5"
"106年/ 連江縣 / 天主教","2","-","2"
"106年/ 連江縣 / 基督教","3","-","3"
"106年/ 連江縣 / 回教","-","-","-"
"106年/ 連江縣 / 天理教","-","-","-"
"106年/ 連江縣 / 巴哈尹教","-","-","-"
"106年/ 連江縣 / 真光教","-","-","-"
"106年/ 連江縣 / 山達基教會","-","-","-"
"106年/ 連江縣 / 統一教","-","-","-"
"106年/ 連江縣 / 摩門教","-","-","-"
"106年/ 連江縣 / 其他","-","-","-"

